Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Crack to Chimney,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107485626/crack-to-chimney,1.8,-1,Trad,5.6,1,100,32.32328,-110.69856
Amateur Hour,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107440396/amateur-hour,1.3,-1,Trad,5.7 PG13,1,140,32.32328,-110.69856
Minarete,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107869968/minarete,1.1,-1,Trad,5.8-,1,30,32.32328,-110.69856
Micro Slab,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107869946/micro-slab,1.5,-1,Sport,5.8-,1,30,32.32328,-110.69856
Farm Team,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107870005/farm-team,1.9,-1,Sport,5.8+,1,100,32.32328,-110.69856
"1,2,3 Stop",Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107440359/123-stop,2,-1,Trad,5.8+,1,100,32.32328,-110.69856
Slabs Of Bakin',Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107659805/slabs-of-bakin,1.6,-1,Sport,5.9,1,75,32.32328,-110.69856
Back In The Shadow Again,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107627102/back-in-the-shadow-again,2.3,-1,Sport,5.9,1,60,32.32328,-110.69856
Wonder Crack,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107664095/wonder-crack,1,-1,Trad,5.10-,1,30,32.32328,-110.69856
Post-Op Therapy,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107627868/post-op-therapy,2.1,-1,Sport,5.10a/b,1,60,32.32328,-110.69856
Microcephaly,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107659824/microcephaly,1.6,-1,Sport,5.10c,1,30,32.32328,-110.69856
Senior Saga,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107627882/senior-saga,1.9,-1,Sport,5.10+,1,60,32.32328,-110.69856
Micro Classic,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107869982/micro-classic,2,-1,Sport,5.11-,1,30,32.32328,-110.69856
Fire Breathing Craggin',Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107659864/fire-breathing-craggin,1,-1,Sport,5.11,1,30,32.32328,-110.69856
Last Line of the Story,Amateur Hour Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/116577332/last-line-of-the-story,1,-1,Sport,5.11+,1,70,32.32328,-110.69856
Mr. Thompson,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107633688/mr-thompson,1.3,-1,Sport,5.5,1,35,32.3127,-110.743
Foot Clan Crack,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/110460381/foot-clan-crack,1,-1,Trad,5.7,1,40,32.3127,-110.743
Shredder,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560699/shredder,1.6,-1,Trad,5.8-,1,30,32.3127,-110.743
Bebop,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560522/bebop,1.6,-1,Sport,5.8,1,40,32.3127,-110.743
Rocksteady,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560544/rocksteady,1.8,-1,Sport,5.8+,1,40,32.3127,-110.743
Krang,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560721/krang,1.7,-1,Sport,5.9,1,45,32.3127,-110.743
April O'Neil,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107633700/april-oneil,1.7,-1,Sport,5.9,1,40,32.3127,-110.743
Irma,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108395419/irma,1.7,-1,Sport,5.9,1,40,32.3127,-110.743
Leonardo,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560713/leonardo,1.6,-1,Sport,5.9+,1,45,32.3127,-110.743
Donatello,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560578/donatello,2,-1,Sport,5.9+,1,45,32.3127,-110.743
Michelangelo,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560608/michelangelo,2.4,-1,Sport,5.9+,1,50,32.3127,-110.743
Hamato Yoshi,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108395450/hamato-yoshi,2,-1,Trad,5.9+,1,40,32.3127,-110.743
Master Splinter,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108395470/master-splinter,2.5,-1,Trad,5.10b,1,45,32.3127,-110.743
Raphael,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560694/raphael,2.2,-1,Sport,5.10b,1,50,32.3127,-110.743
The Technodrome,Teenage Mutant Ninja Turtle Crag > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107560733/the-technodrome,1.7,-1,TR,5.10c,1,55,32.3127,-110.743
Gneiss Guys Finish Fast,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108052622/gneiss-guys-finish-fast,1.4,-1,Sport,5.8,1,60,32.32265,-110.70343
Pryogenics,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108052609/pryogenics,1.7,-1,Sport,5.9,1,60,32.32265,-110.70343
Fall of the British Empire,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108054946/fall-of-the-british-empire,1.5,-1,Sport,5.9,1,55,32.32265,-110.70343
Seams Like A Climb,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108055031/seams-like-a-climb,1.5,-1,Sport,5.9+,1,55,32.32265,-110.70343
Marathon Man,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108030512/marathon-man,2.4,-1,Sport,5.10a/b,1,85,32.32265,-110.70343
Sport and Sassy,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108040167/sport-and-sassy,2.1,-1,Sport,5.10a/b,1,55,32.32265,-110.70343
Bromancing The Stone,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108037768/bromancing-the-stone,2,-1,Sport,5.10b,1,55,32.32265,-110.70343
Scorpus Delecti,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108055003/scorpus-delecti,1.4,-1,Sport,5.10b,1,55,32.32265,-110.70343
Dancing with Danger,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108030491/dancing-with-danger,1.7,-1,Sport,5.10c,1,70,32.32265,-110.70343
Huggin' The Chubby,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108040159/huggin-the-chubby,2.2,-1,Sport,5.10d,1,40,32.32265,-110.70343
Grayed Expectations,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108037755/grayed-expectations,1.9,-1,Sport,5.11a,1,60,32.32265,-110.70343
Radscorpion,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108071998/radscorpion,1.9,-1,Sport,5.11+,1,50,32.32265,-110.70343
Telson Time,Wall of the Flying Scorpions > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108052632/telson-time,2.1,-1,Sport,5.11+,1,45,32.32265,-110.70343
Petty Theft,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738494/petty-theft,2,-1,Trad,5.6,1,80,32.33325,-110.72501
Cold Hand Luke,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105921568/cold-hand-luke,1.4,-1,Trad,5.7,1,70,32.33325,-110.72501
Grand Theft Otto,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105921550/grand-theft-otto,1.9,-1,Trad,5.9,1,70,32.33325,-110.72501
Solitary Refinement,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105927607/solitary-refinement,1.8,-1,Sport,5.10-,1,40,32.33325,-110.72501
Hard Time,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107364312/hard-time,1.6,-1,Trad,5.10a/b,1,45,32.33325,-110.72501
Assault with Battery,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105895379/assault-with-battery,1.9,-1,Sport,5.10d,1,70,32.33325,-110.72501
Safecracker,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738728/safecracker,2.7,-1,Trad,5.11-,1,60,32.33325,-110.72501
Prison Overcrowding,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105934635/prison-overcrowding,1.3,-1,Sport,5.11,1,40,32.33325,-110.72501
Armed Robbery,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105927598/armed-robbery,3.1,-1,Sport,5.11,1,45,32.33325,-110.72501
Crime and Punishment,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738590/crime-and-punishment,3,-1,Trad,5.11b/c,1,,32.33325,-110.72501
Climb Spree,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105942445/climb-spree,2.8,-1,Sport,5.11d,1,45,32.33325,-110.72501
Finger Prince,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105927456/finger-prince,2.2,-1,Sport,5.12b,1,40,32.33325,-110.72501
Sentenced To Hang,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738740/sentenced-to-hang,3.2,-1,Sport,5.12b,1,50,32.33325,-110.72501
Jailbreak,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105932573/jailbreak,3.2,-1,Sport,5.12,1,40,32.33325,-110.72501
Just Punishment,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106576873/just-punishment,2.5,-1,Trad,5.12,1,50,32.33325,-110.72501
Yard Boss,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105934649/yard-boss,2.6,-1,Sport,5.12d,1,50,32.33325,-110.72501
Hoosgal,Alcatraz Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738293/hoosgal,1.5,-1,Trad,5.5,1,60,32.33311,-110.72455
Scarface,Alcatraz Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738296/scarface,1.7,-1,Trad,5.7,1,60,32.33311,-110.72455
Birdman,Alcatraz Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738299/birdman,1.6,-1,"Trad, Sport",5.7,1,60,32.33311,-110.72455
Machinegun,Alcatraz Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738302/machinegun,1.2,-1,Trad,5.7,1,40,32.33311,-110.72455
Solitary,Alcatraz Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738386/solitary,2,-1,"Sport, TR",5.7,1,60,32.33311,-110.72455
Breaking Bad,Alcatraz Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/118599384/breaking-bad,1.4,-1,Sport,5.8-,1,40,32.33311,-110.72455
Safe Cracker,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106119597/safe-cracker,2,-1,Trad,5.6,1,,32.33324,-110.7249
The Latrine,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106780090/the-latrine,1.4,-1,Trad,5.6,1,35,32.33324,-110.7249
St. Valentines Day Massacre,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738491/st-valentines-day-massacre,2.1,-1,"Trad, Sport",5.8-,1,60,32.33324,-110.7249
Mr. Meanor,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105830274/mr-meanor,1.9,-1,Trad,5.8+,1,,32.33324,-110.7249
Mug Shot,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105830280/mug-shot,1.9,-1,Trad,5.8+,1,,32.33324,-110.7249
Off Scott Free,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105830265/off-scott-free,2,-1,Trad,5.9+,1,,32.33324,-110.7249
40 to Life,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105830284/40-to-life,2,-1,Sport,5.10a,1,,32.33324,-110.7249
Soap on a Rope,Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106083319/soap-on-a-rope,1.5,-1,TR,5.10-,1,35,32.33324,-110.7249
Cell Block Six,Cell Blocks > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738308/cell-block-six,1.5,-1,Sport,5.6,1,60,32.33339,-110.72478
Cell Block Eight,Cell Blocks > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738311/cell-block-eight,1.4,-1,"Trad, Sport",5.8,1,70,32.33339,-110.72478
Cell Block Nine,Cell Blocks > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738314/cell-block-nine,1.8,-1,"Trad, Sport",5.9,1,60,32.33339,-110.72478
The Exercise Yard LEFT,Exercise Yard > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105935961/the-exercise-yard-left,1.9,-1,Sport,5.10b,1,30,32.33307,-110.72486
The Exercise Yard,Exercise Yard > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105895383/the-exercise-yard,1.9,-1,"Trad, TR",5.10c,1,30,32.33307,-110.72486
Dragon's Arete,Dragon Tower > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106410846/dragons-arete,2.3,-1,"Trad, Sport",5.8,1,70,32.33359,-110.72412
Dragon's Butt,Dragon Tower > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105834708/dragons-butt,1.3,-1,"Trad, TR",5.8,1,15,32.33359,-110.72412
Dragon's Back,Dragon Tower > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105834704/dragons-back,2.1,-1,Sport,5.10-,1,60,32.33359,-110.72412
Probation,Guard Tower > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738317/probation,1.1,-1,Trad,5.6,1,50,32.33359,-110.72474
Warden,Guard Tower > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738320/warden,1.6,-1,Sport,5.7 R,1,40,32.33359,-110.72474
Pardon,Guard Tower > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106126643/pardon,0,-1,"Trad, Sport",5.9+,1,50,32.33359,-110.72474
Parole,Guard Tower > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106126651/parole,1.4,-1,"Trad, Sport, TR",5.10+,1,50,32.33359,-110.72474
"Tap, Tap, Can't Take Back",Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/119654006/tap-tap-cant-take-back,2,-1,Trad,5.6,1,80,32.31428,-110.74269
Limbomaniac,Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105922070/limbomaniac,1.6,-1,"Trad, Sport",5.7,1,75,32.31428,-110.74269
Resume Builder,Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738281/resume-builder,1.7,-1,Sport,5.8,1,60,32.31428,-110.74269
The Party's Over,Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106050167/the-partys-over,0,-1,Trad,5.8 R,1,100,32.31428,-110.74269
Guanica,Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107407244/guanica,2.6,-1,Sport,5.8,2,140,32.31428,-110.74269
Susey's Groovy,Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738410/suseys-groovy,2.4,-1,Trad,5.8,1,60,32.31428,-110.74269
