Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Dirty Uncle,Old Man Tower > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/114356247/dirty-uncle,2.3,-1,Trad,5.10+,1,,34.85888,-111.74237
Built from Silt,Old Man Tower > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116538507/built-from-silt,2.5,-1,Trad,5.11+,1,110,34.85888,-111.74237
Lift Your Skinny Fists Like Antennas To Heaven,Panera Loaf > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/112853936/lift-your-skinny-fists-like-antennas-to-heaven,3,-1,Trad,5.11-,3,200,34.85958,-111.74416
Falcon's Nest,Falcon's Nest > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/113650310/falcons-nest,1.5,-1,Trad,5.6 PG13,1,70,34.86276,-111.74398
North Cracks,Falcon's Nest > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/113650078/north-cracks,1.8,-1,Trad,5.9,3,220,34.86276,-111.74398
Dimestore Diamond,Dimestore Diamond > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/114041448/dimestore-diamond,2,-1,Trad,5.11+,2,200,34.85937,-111.74595
Regular Route,Queen Victoria > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105793361/regular-route,2.7,-1,Trad,5.7,3,250,34.87486,-111.73699
Route To Nowhere,Queen Victoria > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105825259/route-to-nowhere,1.7,-1,Sport,5.8,1,80,34.87486,-111.73699
Victoria's Secret,Queen Victoria > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/117665609/victorias-secret,1.8,-1,Trad,5.1,2,200,34.87486,-111.73699
Moose's Butte Regular Route,The Moose's Butte > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105804077/mooses-butte-regular-route,2,-1,Trad,5.1,5,500,34.8749,-111.73783
Skyline,The Moose's Butte > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106318474/skyline,2.4,-1,Trad,5.10d,4,,34.8749,-111.73783
Pope's Dick,The Moose's Butte > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106118482/popes-dick,2.6,-1,Trad,5.11a/b R,4,70,34.8749,-111.73783
The Old Tradevious Route,The Moose's Butte > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/119561858/the-old-tradevious-route,3.3,-1,Trad,5.12-,4,400,34.8749,-111.73783
Cul de Sac Crack,The Teapot > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/117665746/cul-de-sac-crack,2,-1,Trad,5.9,2,200,34.87421,-111.73225
TeaPot Traverse,The Teapot > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105960526/teapot-traverse,2,-1,Trad,5.10- R,6,400,34.87421,-111.73225
Cinco de Mayo Variation,The Teapot > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105821851/cinco-de-mayo-variation,1.7,-1,Sport,5.1,1,40,34.87421,-111.73225
Wild Wild West,The Teapot > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105957681/wild-wild-west,3.3,-1,"Trad, Sport",5.11-,5,300,34.87421,-111.73225
South Face,Pointed Dome > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105895489/south-face,3.2,-1,Trad,5.11- R,3,350,34.8748,-111.7372
Anvil Spire North Face,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/108108505/anvil-spire-north-face,1.2,-1,Trad,5.7,2,60,34.87684,-111.72573
Epitaph,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106712983/epitaph,3.5,-1,Trad,5.10-,3,,34.87684,-111.72573
Technicolor Corner,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105906584/technicolor-corner,3,-1,Trad,5.10 R,3,300,34.87684,-111.72573
Queen's Bishop,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/112006573/queens-bishop,2,-1,Trad,5.10 R,4,450,34.87684,-111.72573
It's a Breeze,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/107916587/its-a-breeze,2.5,-1,Trad,5.10+ PG13,2,200,34.87684,-111.72573
Dune,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/114058750/dune,2.9,-1,Sport,5.11b,1,50,34.87684,-111.72573
Eraserhead Spire,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/114058527/eraserhead-spire,2.7,-1,Trad,5.11+,1,60,34.87684,-111.72573
Arch Enemy,Flying Buttress > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106084264/arch-enemy,3.5,-1,Trad,5.11+,6,400,34.87684,-111.72573
West Ridge,Elephant Rock > Moose's Butte Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116683654/west-ridge,2.5,-1,Trad,5,1,200,34.8725,-111.7411
North Face Route,Tisha Spire > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105793328/north-face-route,2.5,-1,Trad,5.7,2,100,34.89064,-111.75302
East Face,Tisha Spire > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106759622/east-face,2,-1,Trad,5.11c PG13,2,120,34.89064,-111.75302
Acropolis - North Face,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105831911/acropolis-north-face,0.8,-1,Trad,5.7+,5,500,34.88934,-111.75151
East Face,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106791703/east-face,2,-1,Trad,5.9,2,200,34.88934,-111.75151
Peter's Ladder,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106121938/peters-ladder,1.7,-1,Trad,5.9,4,,34.88934,-111.75151
Rad OW,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106121950/rad-ow,4,-1,Trad,5.9+,1,110,34.88934,-111.75151
Ice Cream Cone Route,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/112246376/ice-cream-cone-route,2,-1,Trad,5.1,4,400,34.88934,-111.75151
Olympiad,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105815973/olympiad,1.8,-1,Trad,5.10b/c PG13,1,,34.88934,-111.75151
Zephyr's Stairway,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116242195/zephyrs-stairway,4,-1,Trad,5.11-,5,500,34.88934,-111.75151
unknown,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106759615/unknown,2.5,-1,Trad,5.11- R,2,180,34.88934,-111.75151
Michael Boltin',The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/118318163/michael-boltin,3,-1,Trad,5.11,1,115,34.88934,-111.75151
Yanni Live !,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/118318170/yanni-live,4,-1,Trad,5.11+,1,115,34.88934,-111.75151
50meter Dash,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105815977/50meter-dash,3,-1,"Trad, Sport",5.11+,1,165,34.88934,-111.75151
Flight of the Anasazi,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106121943/flight-of-the-anasazi,3,-1,Trad,5.11+,3,190,34.88934,-111.75151
Training is training for training,The Acropolis > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/118318177/training-is-training-for-training,3,-1,Trad,5.12,2,150,34.88934,-111.75151
Fingering Xena,Princess Spire > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105815981/fingering-xena,3,-1,Trad,5.10b/c,2,,34.89028,-111.75271
Princess Spire Regular Route,Princess Spire > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/105816020/princess-spire-regular-route,3.6,-1,Trad,5.10+,2,,34.89028,-111.75271
Walk the Plank,Super Crack Tower > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106338158/walk-the-plank,1.4,-1,Trad,5.3 PG13,1,50,34.9033,-111.748
Happy Ending,Super Crack Tower > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106964102/happy-ending,2,-1,Sport,5.7+,1,80,34.9033,-111.748
